Time (s),FORCE_COEFFICIENT_CD,FORCE_COEFFICIENT_CL,FORCE_COEFFICIENT_CLF,FORCE_COEFFICIENT_CLR,FORCE_COEFFICIENT_CM
"                  32",3.088218153909e-02,1.577404422324e-01,6.693216124281e-02,9.080828098960e-02,-1.193805987339e-02
"                  33",3.063715219040e-02,1.585487266788e-01,6.738722008369e-02,9.116150659508e-02,-1.188714325569e-02
"                  34",3.117286808545e-02,1.611968632772e-01,6.855090575338e-02,9.264595752385e-02,-1.204752588524e-02
"                  35",3.177858511399e-02,1.647142618505e-01,7.003198908050e-02,9.468227276997e-02,-1.232514184474e-02
"                  36",3.228591668284e-02,1.679719379161e-01,7.142396795731e-02,9.654796995878e-02,-1.256200100074e-02
"                  37",3.247986687568e-02,1.705735885432e-01,7.258520643822e-02,9.798838210499e-02,-1.270158783338e-02
"                  38",3.263692455263e-02,1.726010335820e-01,7.353089354522e-02,9.907014003674e-02,-1.276962324576e-02
"                  39",3.278805229224e-02,1.743987443860e-01,7.438933058578e-02,1.000094138003e-01,-1.281004160724e-02
"                  40",3.290966088932e-02,1.762318468680e-01,7.524974351181e-02,1.009821033562e-01,-1.286617992218e-02
"                  41",3.310568672439e-02,1.781804695710e-01,7.613189285098e-02,1.020485767200e-01,-1.295834193454e-02
"                  42",3.332169335657e-02,1.804170797880e-01,7.712801987144e-02,1.032890599165e-01,-1.308052002255e-02
"                  43",3.372204721561e-02,1.827812972317e-01,7.815862367238e-02,1.046226735593e-01,-1.323202494347e-02
"                  44",3.410140529028e-02,1.851400858976e-01,7.917846863984e-02,1.059616172578e-01,-1.339157430896e-02
"                  45",3.452816461256e-02,1.869841337290e-01,7.996363108674e-02,1.070205026423e-01,-1.352843577777e-02
"                  46",3.484884347487e-02,1.882969106225e-01,8.052475744504e-02,1.077721531775e-01,-1.362369786622e-02
"                  47",3.483897711873e-02,1.893915666206e-01,8.098466816140e-02,1.084068984592e-01,-1.371111514890e-02
"                  48",3.514793169412e-02,1.908688666601e-01,8.159437595447e-02,1.092744907057e-01,-1.384005737560e-02
"                  49",3.571778979783e-02,1.931336780632e-01,8.253677595893e-02,1.105969021043e-01,-1.403006307269e-02
"                  50",3.621939889735e-02,1.957542282671e-01,8.362781660635e-02,1.121264116607e-01,-1.424929752719e-02
"                  51",3.670357640566e-02,1.979956558983e-01,8.456323659746e-02,1.134324193009e-01,-1.443459135170e-02
"                  52",3.689487675193e-02,1.993856459909e-01,8.515267263224e-02,1.142329733587e-01,-1.454015036321e-02
"                  53",3.707648462149e-02,2.000986628407e-01,8.545835005062e-02,1.146403127901e-01,-1.459098136973e-02
"                  54",3.707101468470e-02,2.007911197387e-01,8.573587980578e-02,1.150552399330e-01,-1.465968006359e-02
"                  55",3.725101274311e-02,2.021541327158e-01,8.627714474378e-02,1.158769879721e-01,-1.479992161414e-02
"                  56",3.780635375265e-02,2.043581391591e-01,8.717410847976e-02,1.171840306793e-01,-1.500496109979e-02
"                  57",3.844840946289e-02,2.068135333662e-01,8.819027533108e-02,1.186232580351e-01,-1.521649135203e-02
"                  58",3.907350910099e-02,2.089139575671e-01,8.908540825003e-02,1.198285493170e-01,-1.537157053351e-02
"                  59",3.925925641705e-02,2.101235410127e-01,8.961754552696e-02,1.205059954857e-01,-1.544422497938e-02
"                  60",3.942047459648e-02,2.106117500054e-01,8.985384083361e-02,1.207579091718e-01,-1.545203416908e-02
"                  61",3.938258024537e-02,2.109008139889e-01,8.997830491842e-02,1.209225090705e-01,-1.547210207603e-02
"                  62",3.947492606997e-02,2.117125804526e-01,9.030851903631e-02,1.214040614163e-01,-1.554777118999e-02
"                  63",3.972757221980e-02,2.132964863200e-01,9.096061855525e-02,1.223358677648e-01,-1.568762460476e-02
"                  64",4.030713260276e-02,2.151783713492e-01,9.174649853044e-02,1.234318728187e-01,-1.584268714414e-02
"                  65",4.074231657691e-02,2.168621926913e-01,9.245842023367e-02,1.244037724576e-01,-1.597267611197e-02
"                  66",4.098946900607e-02,2.179505702197e-01,9.293066411195e-02,1.250199061078e-01,-1.604462099790e-02
"                  67",4.111228659225e-02,2.184304728860e-01,9.314448277155e-02,1.252859901144e-01,-1.607075367144e-02
"                  68",4.103060420617e-02,2.186102468248e-01,9.322284163039e-02,1.253874051944e-01,-1.608228178200e-02
"                  69",4.100086218503e-02,2.189818674105e-01,9.337859066846e-02,1.256032767421e-01,-1.611234303680e-02
"                  70",4.089989443866e-02,2.195750669610e-01,9.361154951511e-02,1.259635174459e-01,-1.617598396539e-02
"                  71",4.123612143865e-02,2.204264318733e-01,9.395483211566e-02,1.264715997576e-01,-1.625838382097e-02
"                  72",4.150277499902e-02,2.214063035911e-01,9.433581640718e-02,1.270704871839e-01,-1.636733538838e-02
"                  73",4.173749304696e-02,2.222833787146e-01,9.468178117000e-02,1.276015975446e-01,-1.645990818730e-02
"                  74",4.181815454592e-02,2.229283574125e-01,9.493258603919e-02,1.279957713733e-01,-1.653159266706e-02
"                  75",4.187001714699e-02,2.232803303862e-01,9.508037262194e-02,1.281999577642e-01,-1.655979257115e-02
"                  76",4.173954660310e-02,2.232367895871e-01,9.505449303448e-02,1.281822965526e-01,-1.656390175907e-02
"                  77",4.176058985518e-02,2.231433591477e-01,9.499955603125e-02,1.281438031164e-01,-1.657212354258e-02
"                  78",4.182109784554e-02,2.233504364610e-01,9.506319807103e-02,1.282872383900e-01,-1.661202015949e-02
"                  79",4.204983665577e-02,2.238432419173e-01,9.523922234777e-02,1.286040195695e-01,-1.668239861087e-02
"                  80",4.215473388175e-02,2.244170754011e-01,9.544022311864e-02,1.289768522825e-01,-1.676831458192e-02
"                  81",4.227879924351e-02,2.249712768570e-01,9.564811321790e-02,1.293231636391e-01,-1.683752521062e-02
"                  82",4.258597558136e-02,2.252374435699e-01,9.573985795463e-02,1.294975856153e-01,-1.687886383033e-02
"                  83",4.251153870501e-02,2.252547202727e-01,9.572219771286e-02,1.295325225599e-01,-1.690516242350e-02
"                  84",4.251969644719e-02,2.251149976814e-01,9.563666990903e-02,1.294783277723e-01,-1.692082893165e-02
"                  85",4.274564567766e-02,2.249068955899e-01,9.552102858028e-02,1.293858670096e-01,-1.693241921465e-02
"                  86",4.287973206041e-02,2.247836394215e-01,9.543301498423e-02,1.293506244373e-01,-1.695880472652e-02
"                  87",4.295613651717e-02,2.248002605461e-01,9.540736696628e-02,1.293928935798e-01,-1.699276330678e-02
"                  88",4.295979968033e-02,2.249208140535e-01,9.543391016225e-02,1.294869038912e-01,-1.702649686448e-02
"                  89",4.312725986118e-02,2.249515406082e-01,9.542565004988e-02,1.295258905583e-01,-1.705012025420e-02
"                  90",4.310251363279e-02,2.249558701649e-01,9.541258474550e-02,1.295432854194e-01,-1.706535033696e-02
"                  91",4.308513216684e-02,2.248208696382e-01,9.533154277043e-02,1.294893268677e-01,-1.707889204866e-02
"                  92",4.310972242619e-02,2.245948766029e-01,9.521342041045e-02,1.293814561925e-01,-1.708401789101e-02
