Time (s),FORCE_COEFFICIENT_CD,FORCE_COEFFICIENT_CL,FORCE_COEFFICIENT_CLF,FORCE_COEFFICIENT_CLR,FORCE_COEFFICIENT_CM
"                   1",2.513728840784e-03,2.829873407533e-04,-8.570679834394e-05,3.686941390972e-04,-2.272004687206e-04
"                   2",3.171858785761e-02,3.204521526014e-03,-7.095840109135e-04,3.914105536927e-03,-2.311844773920e-03
"                   3",3.945539974046e-02,1.245416887993e-02,6.210060558735e-04,1.183316282406e-02,-5.606078384092e-03
"                   4",8.581670257136e-03,1.688423071532e-02,4.604569001050e-03,1.227966171427e-02,-3.837546356609e-03
"                   5",-1.108303008499e-02,1.515504732938e-02,6.287125389062e-03,8.867921940320e-03,-1.290398275629e-03
"                   6",-4.742192280791e-03,8.951993526666e-03,4.263197212761e-03,4.688796313905e-03,-2.127995505724e-04
"                   7",1.166105212374e-02,6.472024185497e-03,2.002306688707e-03,4.469717496789e-03,-1.233705404041e-03
"                   8",1.980302982614e-02,2.161377278695e-03,-1.114168650976e-03,3.275545929671e-03,-2.194857290323e-03
"                   9",1.929156157810e-02,-1.349828913957e-03,-3.057673240229e-03,1.707844326273e-03,-2.382758783251e-03
"                  10",1.324435262696e-02,1.677952478182e-03,-1.383455724640e-03,3.061408202822e-03,-2.222431963731e-03
"                  11",8.865429099088e-03,1.159290823772e-02,3.343989769842e-03,8.248918467874e-03,-2.452464349016e-03
"                  12",8.065926647034e-03,2.013050081514e-02,7.190624224524e-03,1.293987659062e-02,-2.874626183048e-03
"                  13",1.027874610562e-02,2.022757604209e-02,7.163932003780e-03,1.306364403831e-02,-2.949856017267e-03
"                  14",1.073658344820e-02,1.267104129110e-02,3.777783116911e-03,8.893258174188e-03,-2.557737528638e-03
"                  15",1.005803266666e-02,6.992666604599e-03,1.175438580873e-03,5.817228023726e-03,-2.320894721426e-03
"                  16",8.855058701108e-03,1.036223657266e-02,2.370183803551e-03,7.992052769105e-03,-2.810934482777e-03
"                  17",8.273116034468e-03,2.068389456064e-02,6.545886467565e-03,1.413800809308e-02,-3.796060812756e-03
"                  18",8.549412720003e-03,2.898272159112e-02,1.001734216297e-02,1.896537942815e-02,-4.474018632586e-03
"                  19",8.431833251973e-03,2.937268414743e-02,1.032825627307e-02,1.904442787437e-02,-4.358085800649e-03
"                  20",7.858432968716e-03,2.439382883512e-02,8.426920128717e-03,1.596690870641e-02,-3.769994288845e-03
"                  21",7.906771404704e-03,2.128851385626e-02,7.156931620412e-03,1.413158223585e-02,-3.487325307718e-03
"                  22",7.748869848143e-03,2.354505521507e-02,7.951636981116e-03,1.559341823396e-02,-3.820890626421e-03
"                  23",7.378282249191e-03,2.926085527790e-02,1.015682721084e-02,1.910402806706e-02,-4.473600428113e-03
"                  24",6.785258402051e-03,3.373347114446e-02,1.194418983854e-02,2.178928130592e-02,-4.922545733692e-03
"                  25",6.551243044643e-03,3.457522042643e-02,1.236500522419e-02,2.221021520224e-02,-4.922604989028e-03
"                  26",5.617903636842e-03,3.339688840761e-02,1.197130737362e-02,2.142558103399e-02,-4.727136830187e-03
"                  27",5.260822793985e-03,3.300684566681e-02,1.183305480465e-02,2.117379086217e-02,-4.670368028761e-03
"                  28",5.209868942486e-03,3.450856063847e-02,1.240092212843e-02,2.210763851004e-02,-4.853358190807e-03
"                  29",5.373190254583e-03,3.700779412347e-02,1.336686193103e-02,2.364093219244e-02,-5.137035130704e-03
"                  30",5.107333184188e-03,3.880246839593e-02,1.405846843673e-02,2.474399995920e-02,-5.342765761231e-03
"                  31",4.695881859545e-03,3.951511187481e-02,1.434432314452e-02,2.517078873029e-02,-5.413232792882e-03
"                  32",4.651837793129e-03,4.000553240729e-02,1.456851212138e-02,2.543702028591e-02,-5.434254082262e-03
"                  33",4.642679164326e-03,4.083416279355e-02,1.491147470383e-02,2.592268808972e-02,-5.505606692946e-03
"                  34",4.838752148496e-03,4.230093638672e-02,1.550812775637e-02,2.679280863036e-02,-5.642340436996e-03
"                  35",5.002120851267e-03,4.389380222318e-02,1.613967249386e-02,2.775412972933e-02,-5.807228617733e-03
